,Entity,Code,Year,Nutrient potash,Nutrient phosphate,Nutrient nitrogen
2,Afghanistan,AFG,2013,0.0,1539.0,15694.0
3,Afghanistan,AFG,2014,0.0,1541.0,14416.0
4,Afghanistan,AFG,2015,0.0,1541.0,14416.0
5,Afghanistan,AFG,2016,0.0,1541.0,14416.0
6,Afghanistan,AFG,2017,0.0,1541.0,14416.0
7,Afghanistan,AFG,2018,0.0,1541.0,14416.0
8,Afghanistan,AFG,2019,0.0,1541.0,14416.0
9,Afghanistan,AFG,2020,0.0,1541.0,14416.0
162,Algeria,DZA,2002,0.0,23000.0,72600.0
163,Algeria,DZA,2003,0.0,5980.0,99660.0
164,Algeria,DZA,2004,0.0,53550.0,153790.0
165,Algeria,DZA,2005,0.0,20430.0,83100.0
166,Algeria,DZA,2006,0.0,24310.0,27440.0
167,Algeria,DZA,2007,0.0,42610.0,137780.0
168,Algeria,DZA,2008,0.0,11580.0,11040.0
169,Algeria,DZA,2009,0.0,17400.0,13400.0
170,Algeria,DZA,2010,0.0,22800.0,20800.0
171,Algeria,DZA,2011,0.0,25000.0,19500.0
172,Algeria,DZA,2012,0.0,31200.0,24500.0
173,Algeria,DZA,2013,0.0,27800.0,68000.0
174,Algeria,DZA,2014,0.0,31900.0,438300.0
175,Algeria,DZA,2015,0.0,28200.0,777600.0
176,Algeria,DZA,2016,0.0,32400.0,1043200.0
177,Algeria,DZA,2017,0.0,32400.0,1043200.0
178,Algeria,DZA,2018,0.0,32400.0,1043200.0
179,Algeria,DZA,2019,0.0,32400.0,1043200.0
180,Algeria,DZA,2020,0.0,32400.0,1043200.0
320,Argentina,ARG,2013,0.0,51600.0,630491.6
321,Argentina,ARG,2014,400.0,68400.0,470858.25
322,Argentina,ARG,2015,400.0,71000.0,431740.0
323,Argentina,ARG,2016,600.0,80000.0,542945.75
324,Argentina,ARG,2017,660.0,82800.0,617126.56
325,Argentina,ARG,2018,660.0,82618.0,436101.0
326,Argentina,ARG,2019,600.0,86540.0,510238.2
327,Argentina,ARG,2020,480.0,90000.0,559953.7
449,Australia,AUS,1986,700.0,610800.0,226200.0
450,Australia,AUS,1987,500.0,747100.0,249700.0
451,Australia,AUS,1988,700.0,723000.0,235900.0
452,Australia,AUS,1989,300.0,511300.0,230000.0
453,Australia,AUS,2002,0.0,637312.0,354464.0
454,Australia,AUS,2003,0.0,625824.0,314751.0
455,Australia,AUS,2004,0.0,637634.0,326123.0
456,Australia,AUS,2005,0.0,596768.0,338588.0
457,Australia,AUS,2006,0.0,585820.0,337240.0
458,Australia,AUS,2007,0.0,747920.0,392912.0
459,Australia,AUS,2008,0.0,538752.0,330489.0
460,Australia,AUS,2009,0.0,540088.0,543309.0
461,Australia,AUS,2010,0.0,412475.0,285633.0
462,Australia,AUS,2011,0.0,572887.0,317961.0
463,Australia,AUS,2012,0.0,582856.0,237495.0
464,Australia,AUS,2013,0.0,305344.0,716831.6
465,Australia,AUS,2014,0.0,321334.7,342300.0
466,Australia,AUS,2015,0.0,451251.16,413300.0
467,Australia,AUS,2016,0.0,524512.44,423400.0
468,Australia,AUS,2017,0.0,464767.38,423400.0
469,Australia,AUS,2018,0.0,513407.16,423400.0
470,Australia,AUS,2019,0.0,424297.16,423400.0
471,Australia,AUS,2020,0.0,482509.12,423400.0
591,Bangladesh,BGD,2002,0.0,49500.0,1155433.0
592,Bangladesh,BGD,2003,0.0,58866.0,952070.0
593,Bangladesh,BGD,2004,0.0,64750.0,923410.0
594,Bangladesh,BGD,2005,0.0,69022.0,880646.0
595,Bangladesh,BGD,2006,0.0,69015.0,815701.0
596,Bangladesh,BGD,2007,0.0,65150.0,855556.0
597,Bangladesh,BGD,2013,0.0,31280.0,477460.0
598,Bangladesh,BGD,2014,0.0,61640.0,394580.0
599,Bangladesh,BGD,2015,0.0,69460.0,415220.0
600,Bangladesh,BGD,2016,0.0,90620.0,482040.0
601,Bangladesh,BGD,2017,0.0,76360.0,435200.0
602,Bangladesh,BGD,2018,0.0,70840.0,361160.0
603,Bangladesh,BGD,2019,0.0,82800.0,379840.0
604,Bangladesh,BGD,2020,0.0,82800.0,379840.0
670,Belarus,BLR,1992,3311000.0,101000.0,567700.0
671,Belarus,BLR,1993,1947000.0,68100.0,457800.0
672,Belarus,BLR,1994,2510000.0,27700.0,404800.0
673,Belarus,BLR,1995,2789000.0,46100.0,429000.0
674,Belarus,BLR,1996,2716000.0,91500.0,449600.0
675,Belarus,BLR,1997,3247000.0,128200.0,378900.0
676,Belarus,BLR,1998,3451000.0,127000.0,442500.0
677,Belarus,BLR,1999,3613000.0,48800.0,534400.0
678,Belarus,BLR,2000,3372000.0,87000.0,574300.0
679,Belarus,BLR,2001,3687000.0,84200.0,608200.0
680,Belarus,BLR,2002,3811893.0,73955.0,644420.0
681,Belarus,BLR,2003,4276274.0,86242.0,635865.0
682,Belarus,BLR,2004,4712104.0,114298.0,665034.0
683,Belarus,BLR,2005,4886995.0,135816.0,682065.0
