,Phosphate Price (Dollars américains par tonne métrique),Diesel Price (Dollars US par gallon),Phosphate ROC,Diesel ROC,Phosphate/Diesel Price Ratio,Month,Year
0,44.0,2.09,0.0,0.0,210.426,6,2006
1,44.0,2.22,0.0,6.03,19.8466,7,2006
2,44.0,2.25,0.0,1.35,19.5817,8,2006
3,44.0,1.81,0.0,-19.45,24.3094,9,2006
4,44.0,1.79,0.0,-0.88,24.5262,10,2006
5,44.0,1.81,0.0,0.95,24.296,11,2006
6,44.0,1.83,0.0,1.21,24.0044,12,2006
7,44.0,1.63,0.0,-11.07,26.9939,1,2007
8,44.0,1.76,0.0,7.91,25.0142,2,2007
9,44.0,1.89,0.0,7.5,23.2681,3,2007
10,44.0,2.05,0.0,8.57,21.4321,4,2007
11,44.0,2.04,0.0,-0.44,21.5264,5,2007
12,44.0,2.12,0.0,3.72,20.7547,6,2007
13,44.0,2.15,0.0,1.23,20.5033,7,2007
14,44.0,2.11,0.0,-1.86,20.8927,8,2007
15,57.75,2.32,31.25,10.16,24.8922,9,2007
16,71.5,2.42,23.81,4.18,29.5821,10,2007
17,71.5,2.7,0.0,11.71,26.4815,11,2007
18,71.5,2.63,0.0,-2.56,27.176,12,2007
19,71.5,2.59,0.0,-1.56,27.6062,1,2008
20,71.5,2.77,0.0,7.1,25.7751,2,2008
21,71.5,3.25,0.0,17.27,21.9797,3,2008
22,160.38,3.44,124.31,5.84,46.5815,4,2008
23,190.0,3.82,18.47,10.98,49.7252,5,2008
24,190.0,3.89,0.0,1.73,48.8809,6,2008
25,240.0,3.85,26.32,-1.08,62.4187,7,2008
26,290.0,3.27,20.83,-14.88,88.6037,8,2008
27,278.0,3.04,-4.14,-7.09,91.4173,9,2008
28,450.0,2.4,61.87,-21.18,187.7347,10,2008
29,450.0,1.92,0.0,-19.77,234.0094,11,2008
30,450.0,1.44,0.0,-25.33,313.3705,12,2008
31,450.0,1.5,0.0,4.18,300.8021,1,2009
32,450.0,1.31,0.0,-12.7,344.5635,2,2009
33,450.0,1.34,0.0,2.45,336.3229,3,2009
34,315.0,1.45,-30.0,8.3,217.3913,4,2009
35,270.0,1.52,-14.29,4.9,177.6316,5,2009
36,198.0,1.82,-26.67,19.74,108.7912,6,2009
37,90.0,1.72,-54.55,-5.38,52.2648,7,2009
38,90.0,1.93,0.0,11.9,46.7047,8,2009
39,90.0,1.8,0.0,-6.85,50.1393,9,2009
40,90.0,1.98,0.0,10.42,45.4087,10,2009
41,90.0,2.0,0.0,0.81,45.045,11,2009
42,90.0,1.98,0.0,-0.9,45.4545,12,2009
43,90.0,2.07,0.0,4.34,43.5624,1,2010
44,90.0,2.04,0.0,-1.5,44.226,2,2010
45,90.0,2.16,0.0,6.09,41.686,3,2010
46,90.0,2.28,0.0,5.79,39.4046,4,2010
47,90.0,2.14,0.0,-6.48,42.1348,5,2010
48,90.0,2.11,0.0,-1.31,42.6945,6,2010
49,98.75,2.07,9.72,-1.99,47.7977,7,2010
50,125.0,2.12,26.58,2.71,58.9067,8,2010
51,125.0,2.18,0.0,2.5,57.4713,9,2010
52,125.0,2.3,0.0,5.79,54.3242,10,2010
53,125.0,2.38,0.0,3.3,52.5873,11,2010
54,125.0,2.5,0.0,5.17,50.0,12,2010
55,125.0,2.64,0.0,5.68,47.3126,1,2011
56,140.0,2.84,12.0,7.49,49.2958,2,2011
57,145.0,3.13,3.57,10.25,46.3111,3,2011
58,145.0,3.27,0.0,4.47,44.329,4,2011
59,147.0,3.04,1.38,-7.21,48.4349,5,2011
60,155.0,3.05,5.44,0.63,50.7531,6,2011
61,161.88,3.17,4.44,3.8,51.0663,7,2011
62,182.5,3.01,12.74,-5.05,60.6312,8,2011
63,182.5,2.98,0.0,-1.0,61.2416,9,2011
64,188.75,3.01,3.42,0.94,62.7493,10,2011
